altitude_asl_m,altitude_agl_m,density_kg_m3,pressure_pa,temperature_K,gravity_m_s2,wind_x_m_s,wind_y_m_s,speed_of_sound_m_s,dynamic_viscosity_pa_s
4216.100,4000.000,0.79514028,60458.6794,264.838964,9.78904418,22.369913,-2.6581495,326.237648,1.6746332e-05
4266.100,4050.000,0.790744604,60046.5173,264.534376,9.78889019,22.4239062,-2.48009547,326.05122,1.67311252e-05
4316.100,4100.000,0.786793018,59681.1625,264.211452,9.7887362,22.4660286,-2.42492787,325.850795,1.67147921e-05
4366.100,4150.000,0.78289793,59321.7624,263.886195,9.78858222,22.5066408,-2.38539387,325.64859,1.66983156e-05
4416.100,4200.000,0.779002841,58962.3624,263.560938,9.78842824,22.547253,-2.34585986,325.446385,1.66818392e-05
4466.100,4250.000,0.775107753,58602.9624,263.235681,9.78827427,22.5878653,-2.30632586,325.24418,1.66653627e-05
4516.100,4300.000,0.771212664,58243.5623,262.910424,9.7881203,22.6284775,-2.26679186,325.041974,1.66488862e-05
4566.100,4350.000,0.767317575,57884.1623,262.585167,9.78796633,22.6690897,-2.22725785,324.839769,1.66324098e-05
4616.100,4400.000,0.763422487,57524.7623,262.25991,9.78781237,22.7097019,-2.18772385,324.637564,1.66159333e-05
4666.100,4450.000,0.759527398,57165.3623,261.934653,9.78765841,22.7503141,-2.14818985,324.435359,1.65994569e-05
4716.100,4500.000,0.75563231,56805.9622,261.609396,9.78750446,22.7909263,-2.10865584,324.233154,1.65829804e-05
4766.100,4550.000,0.751737221,56446.5622,261.284139,9.78735051,22.8315385,-2.06912184,324.030948,1.65665039e-05
4816.100,4600.000,0.747842132,56087.1622,260.958882,9.78719656,22.8721507,-2.02958784,323.828743,1.65500275e-05
4866.100,4650.000,0.743947044,55727.7621,260.633625,9.78704261,22.9127629,-1.99005384,323.626538,1.6533551e-05
4916.100,4700.000,0.740051955,55368.3621,260.308368,9.78688867,22.9533751,-1.95051983,323.424333,1.65170746e-05
