time,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,xhat_0,xhat_1,xhat_2,xhat_3,xhat_4,xhat_5,xhat_6,xhat_7,xhat_8,xhat_9,input_0
3.8000000000000003,-5.214174284899849,51.02029787344849,667.1780280711885,-1.624731407179389,15.66721840942775,121.22033255003674,0.986883810976661,-0.06717346102928844,-0.0013308249514110933,0.14678664783419942,-0.011153291822438861,-0.0029061249547366044,0.08527014550861864,-3.658729287266508e-05,-3.7440052996116136e-06,0.06325779032188894,0.0017305131549199477,-0.014716546933867002,96.33822535245982,0.9703247441433456,-0.00010916381534850869,-3.152206605448932e-05,0.2418054548449469,-0.23510390373349518
3.84,-5.278964831206565,51.64590056086573,672.01093720931,-1.6148008610554825,15.612925735969196,120.42521574236274,0.9866175754804091,-0.06739043649643352,-0.0013133227711109115,0.14846748270956317,-0.011565517059690129,-0.003499741759530786,0.08466479714510051,-3.6706251607168975e-05,-4.016942402963138e-06,0.06256614579871728,0.0016723350073430225,-0.014839339814069648,95.42976041080458,0.9697098904359228,-0.00011083590148692514,-3.1719786502166806e-05,0.2442595240722637,-0.2369278642240267
3.88,-5.343359603965826,52.26932210749546,676.8118419689522,-1.6051635041270687,15.559263340001015,119.6360120610748,0.9863497765600641,-0.06761291932233346,-0.0013054411757487036,0.15013621507882938,-0.01182595828373954,-0.0036392053171149068,0.08405336710043092,-3.6863613193179585e-05,-3.341500485031134e-06,0.06187842576597341,0.0016169668432264275,-0.014958830937324294,94.53138571271013,0.9690956561622576,-0.0001125079580954975,-3.1932015418031034e-05,0.24668521546649103,-0.2387919509424361
3.92,-5.407379102314765,52.890629631336026,681.5815925034635,-1.5958453745467256,15.506182324626018,118.85214646986284,0.9860807457780653,-0.06783861468952969,-0.0012967876162837337,0.1517925631702522,-0.011885518098498636,-0.0033053518358475325,0.08345224702779408,-3.7845096137188624e-05,-3.6166958344611886e-06,0.061196980200924546,0.001557196534950593,-0.015075364411328451,93.64289137984076,0.9684822071872222,-0.00011419758299968692,-3.212198459126864e-05,0.24908271776431357,-0.2406726263364072
3.96,-5.471030378310931,53.50982489572444,686.320088264463,-1.5867479587075892,15.453684046998134,118.07357971852977,0.9858107622031583,-0.06806522452842781,-0.0012793873109046656,0.1534360047235352,-0.011792960497944453,-0.0026904520935771103,0.08285471094086874,-3.786468942927053e-05,-3.4973567771016905e-06,0.06052258048026728,0.0015003052916367913,-0.015195117818384576,92.76407308428614,0.9678696820426644,-0.00011591618863821447,-3.2331569886117645e-05,0.251452309794002,-0.2425370666408297
4.0,-5.534319423763251,54.12693240530788,691.0275521239473,-1.5776996079298087,15.401793880141899,117.30055267594112,0.9855400267043702,-0.06829114634312392,-0.001249978118076436,0.15506640797686744,-0.011664955452886807,-0.0021022857900217635,0.08225941257772573,-3.805891591787853e-05,-3.5035478131013802e-06,0.059853723115505394,0.0014432903902284661,-0.015310827399858336,91.89473186680857,0.9672582063645663,-0.00011763986004767945,-3.2541791106708285e-05,0.25379430120138036,-0.2443786961643103
4.04,-5.597244800198997,54.741976040815096,695.7042046245363,-1.5685432595441564,15.350476766389944,116.53293321475414,0.9852685612094334,-0.06851644373691204,-0.0012118809570657858,0.15668397743824575,-0.011619556148020727,-0.001785460844211229,0.08165652606614607,-3.822695622476111e-05,-3.352748712655725e-06,0.05919529338689722,0.0013871178358281667,-0.015423831164795796,91.03467395520052,0.9666479168848834,-0.00011936152625331008,-3.2757481737275564e-05,0.2561089406129523,-0.24616246363982136
4.08,-5.6598004386743925,55.35497729729304,700.3502539777976,-1.5592094198527529,15.299670677475843,115.77037549616693,0.9849962394316418,-0.0687424640270556,-0.0011718621867794715,0.15828924558048027,-0.011718047210971411,-0.0018190861116456555,0.08107848277488923,-3.880452077854519e-05,-3.020111878049092e-06,0.058544825410421095,0.0013306467791509957,-0.015533970063976237,90.18371059507415,0.9660388951175136,-0.00012109453590488799,-3.2966170800064246e-05,0.25839666671510797,-0.24787719973652744
4.12,-5.721979671949523,55.96595623901007,704.9659009435867,-1.5497312178274143,15.249358109694375,115.0127995954474,0.9847228526123645,-0.0689710382809152,-0.0011366756591371658,0.15988303066423282,-0.011953591885093585,-0.002124226847867203,0.08050814737697459,-3.8724681438774315e-05,-1.80987395619297e-06,0.05790525495941177,0.0012726102404168548,-0.015644220612786155,89.34165788484002,0.9654312420840669,-0.0001228491460346581,-3.3176922589289764e-05,0.2606578228547821,-0.2494950744939158
4.16,-5.78377877632699,56.57493361119304,709.5513539383943,-1.5402260982928808,15.1995519349803,114.26025607363427,0.9844482975964375,-0.06920372577200758,-0.0011102624664184086,0.1614656045204501,-0.012253663875454459,-0.0024994661334824817,0.07993068582522778,-3.8583175211065816e-05,-1.893648768423195e-06,0.057275029830227094,0.001206788157498672,-0.015749820322055665,88.50833661980742,0.9648250231027862,-0.00012461078606850986,-3.3335999288334885e-05,0.2628928644059618,-0.25100808190865653
4.2,-5.845199601102889,57.1819307495361,714.1068200611082,-1.5308161152398425,15.150291926358122,113.51292720429616,0.9841725895536239,-0.06944093821542659,-0.0010918393008296904,0.16303701261197232,-0.012532666430767388,-0.0027589241874338317,0.07937230226372778,-3.851225978222553e-05,-1.7227167262598965e-06,0.05665663664337876,0.0011426032093855192,-0.01585037389996394,87.68357213811501,0.964220313582971,-0.000126366412412931,-3.3503943888061706e-05,0.26510218743528435,-0.2523953030507579
4.24,-5.9062467598280035,57.78696649933736,718.6324787476266,-1.5215600597241967,15.101544306170513,112.77046502997285,0.9838958098982461,-0.06968224478112824,-0.0010782304518344235,0.16459723687789082,-0.012735133904354002,-0.0028067390399212507,0.07881775487730296,-3.915952993409045e-05,-1.2003799459379378e-06,0.056048934489296424,0.001078258068265945,-0.015946468018249133,86.86719417577125,0.9636171579735269,-0.00012811643695508963,-3.366410670580347e-05,0.2672862796926345,-0.2536536584566645
