# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Corrective moment Coefficient ()
67.679,352.811,-5.476,5.903,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.404,293.153,NaN,NaN
67.959,351.281,-5.472,5.95,-0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.321,293.153,NaN,NaN
68.239,349.749,-5.475,5.946,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.387,293.153,NaN,NaN
68.518,348.219,-5.473,5.902,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.333,293.153,NaN,NaN
68.798,346.688,-5.474,5.915,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN
69.077,345.158,-5.473,5.891,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN
69.357,343.629,-5.472,5.863,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.376,293.153,NaN,NaN
69.636,342.099,-5.471,5.826,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
69.916,340.569,-5.472,5.802,1.487e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
70.195,339.04,-5.472,5.821,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.401,293.153,NaN,NaN
70.475,337.512,-5.469,5.775,-0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.333,293.153,NaN,NaN
70.754,335.983,-5.471,5.797,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
71.034,334.454,-5.47,5.774,3.099e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
71.313,332.926,-5.47,5.757,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,293.153,NaN,NaN
71.593,331.398,-5.469,5.783,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.391,293.153,NaN,NaN
71.872,329.87,-5.467,5.824,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.431,293.153,NaN,NaN
72.151,328.343,-5.464,5.885,-0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
72.431,326.815,-5.466,5.934,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN
72.71,325.288,-5.467,5.904,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
72.99,323.761,-5.468,5.889,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
73.269,322.234,-5.467,5.906,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.379,293.153,NaN,NaN
73.548,320.708,-5.466,5.867,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.335,293.153,NaN,NaN
73.827,319.181,-5.467,5.858,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
74.106,317.655,-5.466,5.877,-9.004e-5,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN
74.606,314.922,-5.466,5.894,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
74.885,313.397,-5.465,5.88,7.746e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
75.165,311.872,-5.465,5.885,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
75.444,310.347,-5.464,5.865,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,293.153,NaN,NaN
75.723,308.822,-5.463,5.834,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.338,293.153,NaN,NaN
76.002,307.298,-5.464,5.83,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
76.281,305.774,-5.463,5.842,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN
76.56,304.25,-5.462,5.819,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN
76.839,302.726,-5.461,5.848,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.337,293.153,NaN,NaN
77.118,301.202,-5.462,5.849,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
77.397,299.679,-5.462,5.857,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
77.675,298.156,-5.461,5.871,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,293.153,NaN,NaN
77.954,296.633,-5.46,5.9,-0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
78.233,295.11,-5.46,5.917,0.018,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.437,293.153,NaN,NaN
78.512,293.588,-5.455,5.851,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.412,293.153,NaN,NaN
78.791,292.066,-5.454,5.788,-0.019,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.299,293.153,NaN,NaN
79.07,290.543,-5.459,5.803,8.617e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
79.349,289.022,-5.459,5.801,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.385,293.153,NaN,NaN
79.628,287.5,-5.457,5.834,0.014,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.431,293.153,NaN,NaN
79.906,285.98,-5.453,5.893,-0.017,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.301,293.153,NaN,NaN
80.185,284.458,-5.458,5.889,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
80.464,282.937,-5.457,5.904,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
80.743,281.416,-5.457,5.916,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
81.021,279.896,-5.456,5.901,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
81.3,278.376,-5.456,5.885,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN
81.579,276.856,-5.454,5.851,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.397,293.153,NaN,NaN
81.857,275.336,-5.452,5.802,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.403,293.153,NaN,NaN
82.136,273.817,-5.45,5.749,-0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.308,293.153,NaN,NaN
82.415,272.297,-5.455,5.749,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.39,293.153,NaN,NaN
82.693,270.778,-5.452,5.781,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.395,293.153,NaN,NaN
82.972,269.26,-5.45,5.827,-0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.319,293.153,NaN,NaN
83.25,267.74,-5.453,5.82,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.412,293.153,NaN,NaN
83.529,266.223,-5.45,5.77,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN
83.808,264.704,-5.45,5.733,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
84.086,263.186,-5.451,5.761,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.404,293.153,NaN,NaN
84.365,261.669,-5.448,5.805,-0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.333,293.153,NaN,NaN
84.643,260.151,-5.45,5.832,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.38,293.153,NaN,NaN
84.921,258.634,-5.449,5.87,-0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
85.2,257.116,-5.449,5.902,-0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN
85.478,255.6,-5.45,5.923,-4.46e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
85.757,254.083,-5.45,5.92,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
86.035,252.566,-5.449,5.916,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.379,293.153,NaN,NaN
86.313,251.05,-5.447,5.879,1.503e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
86.591,249.534,-5.447,5.849,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.339,293.153,NaN,NaN
86.87,248.019,-5.448,5.855,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.364,293.153,NaN,NaN
87.148,246.503,-5.447,5.83,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.411,293.153,NaN,NaN
87.426,244.988,-5.444,5.777,-0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.333,293.153,NaN,NaN
87.704,243.473,-5.446,5.756,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN
87.983,241.958,-5.445,5.725,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.339,293.153,NaN,NaN
88.261,240.443,-5.446,5.737,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
88.539,238.929,-5.446,5.728,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.359,293.153,NaN,NaN
88.817,237.415,-5.445,5.744,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.383,293.153,NaN,NaN
89.095,235.901,-5.443,5.777,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.376,293.153,NaN,NaN
89.373,234.387,-5.442,5.738,-0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN
89.651,232.873,-5.444,5.757,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.357,293.153,NaN,NaN
89.929,231.36,-5.443,5.776,0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.405,293.153,NaN,NaN
90.207,229.847,-5.44,5.819,-0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.32,293.153,NaN,NaN
90.485,228.334,-5.443,5.824,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.378,293.153,NaN,NaN
90.763,226.822,-5.441,5.79,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.339,293.153,NaN,NaN
91.041,225.309,-5.442,5.781,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.359,293.153,NaN,NaN
91.319,223.797,-5.441,5.799,7.945e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
91.597,222.285,-5.441,5.783,0.018,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.442,293.153,NaN,NaN
91.875,220.774,-5.436,5.837,-0.017,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.303,293.153,NaN,NaN
92.153,219.261,-5.441,5.836,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
92.431,217.75,-5.44,5.843,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,293.153,NaN,NaN
92.708,216.239,-5.439,5.814,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.418,293.153,NaN,NaN
92.986,214.729,-5.435,5.866,-0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.323,293.153,NaN,NaN
93.264,213.218,-5.438,5.846,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
93.542,211.707,-5.438,5.825,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.384,293.153,NaN,NaN
93.82,210.197,-5.436,5.786,9.655e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.367,293.153,NaN,NaN
94.097,208.687,-5.436,5.751,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
94.375,207.177,-5.437,5.771,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN
94.653,205.668,-5.436,5.797,7.646e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.357,293.153,NaN,NaN
94.931,204.158,-5.436,5.822,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.344,293.153,NaN,NaN
95.208,202.649,-5.436,5.831,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
95.486,201.14,-5.436,5.843,0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.42,293.153,NaN,NaN
95.763,199.632,-5.432,5.787,-0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.328,293.153,NaN,NaN
96.041,198.123,-5.434,5.812,6.351e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
96.319,196.615,-5.434,5.831,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.393,293.153,NaN,NaN
96.596,195.107,-5.432,5.787,-0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.327,293.153,NaN,NaN
96.874,193.599,-5.434,5.785,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
97.151,192.091,-5.433,5.798,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
97.429,190.584,-5.433,5.784,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.39,293.153,NaN,NaN
97.706,189.077,-5.431,5.745,1.428e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN
97.984,187.57,-5.43,5.712,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.337,293.153,NaN,NaN
98.261,186.063,-5.432,5.702,6.354e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
98.538,184.556,-5.432,5.706,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
98.816,183.05,-5.431,5.701,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
99.093,181.544,-5.43,5.715,0.03,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.505,293.153,NaN,NaN
99.37,180.039,-5.422,5.778,-0.024,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.298,293.153,NaN,NaN
99.648,178.533,-5.429,5.816,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.362,293.153,NaN,NaN
99.925,177.027,-5.428,5.785,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
100.203,175.522,-5.429,5.774,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.385,293.153,NaN,NaN
100.48,174.017,-5.427,5.808,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN
100.757,172.512,-5.428,5.798,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
101.034,171.007,-5.428,5.806,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
101.311,169.503,-5.427,5.787,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
101.589,167.999,-5.427,5.77,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.388,293.153,NaN,NaN
101.866,166.495,-5.425,5.806,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN
102.143,164.991,-5.426,5.832,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.4,293.153,NaN,NaN
102.42,163.488,-5.423,5.879,-0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN
102.697,161.984,-5.425,5.906,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.375,293.153,NaN,NaN
102.974,160.482,-5.424,5.867,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.401,293.153,NaN,NaN
103.251,158.979,-5.421,5.813,-6.743e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN
103.529,157.476,-5.422,5.768,-0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
103.806,155.974,-5.423,5.745,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
104.083,154.471,-5.424,5.745,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.404,293.153,NaN,NaN
104.36,152.97,-5.421,5.785,-0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.332,293.153,NaN,NaN
104.637,151.467,-5.423,5.77,-1.249e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN
104.914,149.966,-5.423,5.772,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.357,293.153,NaN,NaN
105.191,148.465,-5.422,5.786,6.733e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
105.467,146.963,-5.422,5.777,8.928e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
105.744,145.462,-5.422,5.776,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.391,293.153,NaN,NaN
106.021,143.962,-5.419,5.812,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.338,293.153,NaN,NaN
106.298,142.461,-5.42,5.831,3.75e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
106.575,140.961,-5.42,5.842,0.018,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.437,293.153,NaN,NaN
106.852,139.462,-5.415,5.899,-0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN
107.128,137.961,-5.417,5.944,-0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.333,293.153,NaN,NaN
107.405,136.461,-5.419,5.934,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN
107.682,134.962,-5.418,5.906,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
107.959,133.463,-5.418,5.912,0.019,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.442,293.153,NaN,NaN
108.235,131.964,-5.413,5.843,-0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.313,293.153,NaN,NaN
108.512,130.465,-5.417,5.828,7.432e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
108.789,128.967,-5.417,5.813,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.398,293.153,NaN,NaN
109.066,127.468,-5.414,5.855,7.917e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN
109.342,125.97,-5.414,5.811,0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.405,293.153,NaN,NaN
109.619,124.473,-5.412,5.756,-0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
109.896,122.975,-5.414,5.721,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
110.172,121.477,-5.415,5.744,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
110.449,119.98,-5.415,5.743,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
110.725,118.482,-5.415,5.751,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN
111.002,116.986,-5.414,5.732,7.911e-5,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN
111.502,114.279,-5.414,5.752,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
111.778,112.783,-5.413,5.746,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN
112.055,111.287,-5.412,5.718,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
112.331,109.791,-5.412,5.712,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN
112.607,108.295,-5.411,5.729,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.41,293.153,NaN,NaN
112.884,106.8,-5.408,5.773,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.404,293.153,NaN,NaN
113.16,105.305,-5.407,5.828,-0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.322,293.153,NaN,NaN
113.437,103.809,-5.41,5.856,0.055,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.635,293.153,NaN,NaN
113.713,102.317,-5.395,5.736,-0.054,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.212,293.153,NaN,NaN
113.99,100.82,-5.41,5.736,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
114.266,99.326,-5.41,5.747,0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.424,293.153,NaN,NaN
114.542,97.832,-5.405,5.795,-0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.313,293.153,NaN,NaN
114.819,96.338,-5.409,5.798,0.012,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.408,293.153,NaN,NaN
115.095,94.844,-5.406,5.749,-0.007,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.338,293.153,NaN,NaN
115.371,93.35,-5.407,5.729,0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.431,293.153,NaN,NaN
115.648,91.858,-5.403,5.779,-0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.308,293.153,NaN,NaN
115.924,90.364,-5.407,5.79,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
116.2,88.871,-5.407,5.781,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
116.476,87.378,-5.407,5.777,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.359,293.153,NaN,NaN
116.752,85.886,-5.406,5.759,4.695e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
117.028,84.394,-5.406,5.77,8.631e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
117.304,82.902,-5.406,5.764,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.359,293.153,NaN,NaN
117.58,81.41,-5.405,5.781,0.008,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.388,293.153,NaN,NaN
117.856,79.918,-5.403,5.819,-0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
118.132,78.427,-5.403,5.788,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.34,293.153,NaN,NaN
118.408,76.935,-5.404,5.798,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.356,293.153,NaN,NaN
118.684,75.444,-5.403,5.813,1.681e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN
118.96,73.954,-5.403,5.809,0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN
119.236,72.463,-5.402,5.778,6.585e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
119.512,70.973,-5.402,5.805,2.874e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
119.788,69.483,-5.401,5.828,-7.961e-5,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
120.288,66.782,-5.402,5.8,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
120.564,65.292,-5.401,5.791,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
120.839,63.803,-5.401,5.799,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN
121.115,62.314,-5.4,5.815,0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN
121.391,60.825,-5.399,5.787,9.705e-5,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
121.891,58.125,-5.399,5.748,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
122.166,56.637,-5.398,5.731,3.687e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN
122.442,55.149,-5.398,5.741,0.01,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.395,293.153,NaN,NaN
122.718,53.661,-5.396,5.779,-0.006,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.334,293.153,NaN,NaN
122.993,52.173,-5.397,5.795,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.364,293.153,NaN,NaN
123.269,50.686,-5.397,5.77,7.757e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.356,293.153,NaN,NaN
123.545,49.198,-5.396,5.749,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.356,293.153,NaN,NaN
123.82,47.711,-5.396,5.728,-8.72e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN
124.096,46.224,-5.396,5.731,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN
124.371,44.738,-5.395,5.704,8.175e-5,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
124.871,42.04,-5.395,5.743,6.22e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN
125.147,40.554,-5.395,5.756,0.013,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.414,293.153,NaN,NaN
